valid,activeDuration,urlLen,is@,isredirect,haveDash,domainLen,nosOfSubdomain,label
1,8035,40,0,0,0,13,1,0
1,9496,46,0,0,0,18,2,0
0,0,123,0,0,1,35,6,1
0,0,81,0,0,0,20,2,1
1,7670,33,0,0,0,17,2,0
1,9497,65,0,0,0,14,2,0
0,0,103,0,0,0,30,5,1
1,6575,46,0,0,0,32,2,0
1,8035,51,0,0,0,16,2,0
1,1461,68,0,0,0,23,2,1
0,0,68,0,0,1,21,1,1
0,0,72,0,0,0,10,1,1
1,11322,79,0,0,0,15,2,1
1,8767,23,0,0,0,13,2,0
0,0,56,0,0,0,30,4,1
1,6939,36,0,0,1,21,2,0
1,5113,100,0,0,0,15,2,1
1,3287,32,0,0,0,19,2,0
0,0,56,0,0,0,14,3,0
1,8035,55,0,0,0,16,2,0
1,11321,29,0,0,0,14,2,0
1,9131,39,0,0,1,16,2,0
0,0,44,0,0,0,22,2,1
1,8930,89,0,0,1,35,5,1
1,9133,43,0,0,0,16,1,0
1,3288,35,0,0,0,17,1,1
1,8400,36,0,0,0,19,2,0
0,0,94,0,0,1,31,2,1
1,6575,26,0,0,0,10,1,1
0,0,23,0,0,0,11,2,0
0,0,293,0,0,1,40,4,1
0,0,71,0,0,0,32,2,1
0,0,128,0,0,0,64,10,1
0,0,29,0,0,1,14,1,1
0,0,108,0,0,0,24,4,1
1,4749,35,0,0,0,19,1,1
1,6575,103,0,0,0,16,3,1
1,6210,38,0,0,0,16,2,0
0,0,60,0,0,0,17,1,1
1,3288,77,0,0,0,24,3,1
1,8767,33,0,0,0,20,2,0
0,0,28,0,0,0,21,3,0
0,0,42,0,0,0,11,2,0
1,366,90,0,0,0,11,1,1
1,9133,25,0,0,0,14,2,0
0,0,27,0,0,0,17,2,0
1,3653,85,0,0,0,14,2,1
0,0,189,0,0,0,18,2,1
1,7670,33,0,0,0,18,2,0
1,8767,40,0,0,0,21,2,0
1,9132,44,0,0,0,16,2,0
1,6575,69,0,0,0,17,2,0
1,2922,35,0,0,0,17,1,1
0,0,149,0,0,0,128,6,1
1,9131,60,0,0,0,16,2,0
1,4749,59,0,0,0,9,1,1
1,6575,36,0,0,0,14,2,1
0,0,73,0,0,0,21,3,0
1,1096,71,0,0,0,11,1,1
1,7670,32,0,0,0,15,1,0
1,5844,100,0,0,0,15,2,1
1,9496,36,0,0,0,21,2,0
0,0,105,0,0,0,25,1,1
1,5114,95,0,1,0,15,2,1
1,4383,25,0,0,0,24,2,1
1,4017,20,0,0,0,19,3,1
0,0,51,0,0,1,27,4,0
0,0,44,0,0,0,10,1,1
1,1096,88,0,0,0,19,1,1
0,0,24,0,0,0,14,2,1
1,11322,100,0,0,0,15,2,1
1,9133,27,0,0,0,14,2,0
1,9498,28,0,0,1,27,2,1
0,0,72,0,0,0,14,2,1
1,2922,123,0,0,1,29,2,1
1,9496,27,0,0,0,18,2,0
0,0,116,0,0,0,93,12,1
1,1096,199,0,0,0,28,2,1
0,0,24,0,0,0,11,2,0
1,4017,33,0,0,0,13,1,1
0,0,65,0,0,0,12,1,1
0,0,35,0,0,1,19,1,1
1,8400,66,0,0,0,15,2,0
1,4383,31,0,0,1,20,2,0
1,8035,37,0,0,0,16,2,0
1,4017,33,0,0,0,13,1,1
0,0,22,0,0,0,13,1,1
0,0,83,0,0,1,22,3,1
1,8401,40,0,0,0,22,2,0
0,0,13,0,0,0,8,1,0
0,0,94,0,0,0,13,2,1
1,366,101,0,0,0,25,1,1
0,0,116,0,0,0,27,5,1
1,1461,96,0,0,0,12,1,1
1,5114,79,0,0,1,25,2,1
0,0,31,0,0,0,12,2,1
1,8035,67,0,0,0,20,2,1
1,7305,28,0,0,0,17,2,0
1,8399,18,0,0,0,13,2,0
1,10959,47,0,0,0,13,2,0
1,730,19,0,0,0,15,2,1
0,0,38,0,0,0,19,3,0
1,5479,45,0,0,1,26,2,1
0,0,48,0,0,0,16,2,0
1,6940,27,0,0,0,14,1,0
0,0,30,0,0,0,19,3,0
1,8407,76,0,0,0,14,2,1
1,9131,50,0,0,0,16,2,0
1,11322,79,0,0,0,15,2,1
1,8035,43,0,0,0,17,2,0
1,8765,63,0,0,0,23,2,0
1,4749,42,0,0,0,28,2,1
0,0,31,0,0,0,16,4,0
1,9133,27,0,0,0,14,2,0
1,2557,146,0,0,1,112,14,1
1,5844,60,0,0,0,22,2,1
0,0,17,0,0,0,13,3,0
0,0,32,0,0,1,31,3,1
1,11322,32,0,0,0,12,1,0
1,9133,26,0,0,0,14,2,0
0,0,44,0,0,1,18,1,1
1,6575,38,0,0,0,11,1,1
0,0,88,0,0,0,15,2,0
1,365,196,0,0,1,153,14,1
0,0,22,0,0,1,18,1,1
1,3653,103,0,0,0,14,2,1
1,9131,80,0,0,0,17,2,0
0,0,94,0,0,0,60,7,1
